id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15643359.0,Chidubem,605.0,France,Male,29.0,5.0,0.0,1.0,1.0,1.0,151623.91,0.0
1,15624703.0,Okechukwu,700.0,France,Male,37.0,4.0,115301.31,2.0,1.0,1.0,162501.83,0.0
2,15583392.0,Okeke,572.0,France,Male,49.0,2.0,62610.96,1.0,1.0,1.0,142514.69,1.0
3,15594878.0,Yobanna,813.0,Germany,Male,31.0,8.0,134591.35,1.0,0.0,0.0,90591.15,0.0
4,15792669.0,Ch'ang,670.0,France,Female,38.0,7.0,0.0,1.0,1.0,0.0,148528.24,0.0
5,15743076.0,Udinesi,697.0,France,Female,32.0,1.0,98668.18,2.0,1.0,0.0,86764.46,0.0
6,15795878.0,Mancini,714.0,Germany,Female,55.0,2.0,131764.96,1.0,0.0,0.0,61793.47,1.0
7,15791045.0,Maclean,635.0,France,Male,30.0,5.0,0.0,2.0,1.0,0.0,10054.53,0.0
8,15764405.0,Palermo,635.0,Germany,Male,32.0,2.0,139825.53,2.0,1.0,0.0,57553.98,0.0
9,15615016.0,Nnonso,624.0,France,Male,31.0,4.0,0.0,2.0,1.0,0.0,172749.4,0.0
10,15636238.0,Onwuamaeze,521.0,Germany,Female,45.0,2.0,116537.6,1.0,1.0,1.0,75578.67,1.0
11,15804919.0,Nieves,528.0,Germany,Male,40.0,2.0,101247.07,1.0,1.0,1.0,186489.95,1.0
12,15618245.0,Tseng,584.0,Germany,Female,33.0,8.0,125268.03,2.0,1.0,1.0,123885.88,0.0
13,15574886.0,Lucchese,645.0,France,Male,36.0,3.0,96693.66,1.0,1.0,1.0,172638.13,0.0
14,15765297.0,Cremonesi,604.0,Spain,Male,34.0,7.0,0.0,2.0,1.0,0.0,180553.48,0.0
15,15717286.0,Kao,707.0,France,Male,38.0,2.0,0.0,2.0,0.0,1.0,164741.5,0.0
16,15681697.0,Chukwualuka,850.0,France,Male,35.0,4.0,123971.51,1.0,1.0,0.0,158032.5,0.0
17,15792364.0,Black,686.0,France,Female,32.0,4.0,0.0,2.0,0.0,0.0,143463.17,0.0
18,15669922.0,Onyekachi,496.0,Germany,Male,46.0,6.0,120549.29,1.0,1.0,0.0,16500.66,0.0
19,15601184.0,Burt,717.0,Germany,Male,37.0,8.0,123544.0,1.0,1.0,0.0,81298.09,0.0
20,15604891.0,H?,738.0,France,Male,36.0,7.0,0.0,1.0,0.0,1.0,62390.59,0.0
21,15717995.0,Lombardi,602.0,France,Male,26.0,0.0,91068.54,1.0,0.0,1.0,118959.64,0.0
22,15608701.0,Ch'iu,685.0,Spain,Female,25.0,2.0,0.0,1.0,1.0,0.0,113469.65,0.0
23,15709861.0,Hsiao,613.0,France,Female,34.0,3.0,0.0,2.0,1.0,0.0,12092.03,0.0
24,15781689.0,Calabrese,679.0,France,Female,37.0,4.0,0.0,1.0,1.0,1.0,70954.41,1.0
25,15677317.0,Manna,613.0,France,Female,37.0,5.0,145965.33,1.0,1.0,0.0,48108.72,0.0
26,15595071.0,Pirozzi,721.0,France,Female,25.0,4.0,0.0,2.0,0.0,0.0,107876.91,0.0
27,15762332.0,Hsiao,681.0,France,Male,32.0,9.0,102833.46,1.0,1.0,0.0,135875.51,0.0
28,15743067.0,Pirozzi,637.0,France,Female,30.0,8.0,96486.57,1.0,0.0,1.0,93524.19,0.0
29,15721460.0,Nnanna,582.0,France,Male,38.0,1.0,0.0,2.0,1.0,1.0,102799.22,0.0
30,15717286.0,Hsueh,489.0,France,Female,47.0,4.0,0.0,2.0,1.0,1.0,95857.18,0.0
31,15587066.0,Fanucci,586.0,France,Female,48.0,7.0,135903.33,1.0,1.0,0.0,100995.11,0.0
32,15765173.0,Yermakov,755.0,Spain,Female,32.0,1.0,0.0,1.0,1.0,0.0,179446.31,1.0
33,15762983.0,Ukaegbunam,611.0,France,Female,33.0,5.0,0.0,2.0,1.0,0.0,184842.21,0.0
34,15777893.0,Ibezimako,775.0,Spain,Female,32.0,6.0,0.0,1.0,1.0,0.0,141180.66,1.0
35,15703923.0,Chikezie,652.0,France,Male,43.0,1.0,0.0,2.0,1.0,1.0,82969.61,0.0
36,15691703.0,Fyodorova,707.0,Germany,Male,37.0,3.0,137657.71,2.0,1.0,1.0,187911.55,0.0
37,15656322.0,Chukwufumnanya,686.0,Spain,Male,33.0,5.0,141816.25,1.0,1.0,0.0,191198.92,0.0
38,15757865.0,Chukwuemeka,634.0,France,Female,39.0,5.0,0.0,2.0,0.0,1.0,136491.72,0.0
39,15593636.0,Tuan,644.0,Spain,Male,29.0,4.0,121355.99,1.0,1.0,1.0,187811.71,0.0
40,15625905.0,Hsia,850.0,France,Female,33.0,6.0,0.0,2.0,1.0,0.0,143981.27,0.0
41,15659325.0,Chidubem,593.0,Spain,Male,35.0,7.0,0.0,2.0,0.0,1.0,119882.7,0.0
42,15756056.0,Chia,516.0,Spain,Male,29.0,1.0,0.0,2.0,0.0,1.0,122221.71,0.0
43,15750039.0,DeRose,585.0,Germany,Female,30.0,4.0,110148.49,2.0,1.0,0.0,92811.2,0.0
44,15739046.0,T'ang,543.0,France,Male,31.0,2.0,0.0,2.0,0.0,1.0,86022.09,0.0
45,15628963.0,T'ien,611.0,Spain,Female,26.0,3.0,0.0,2.0,1.0,1.0,52449.62,0.0
46,15675892.0,Chibueze,738.0,France,Male,39.0,1.0,0.0,1.0,1.0,0.0,131772.51,1.0
47,15644280.0,Rowntree,731.0,France,Female,38.0,1.0,109908.06,1.0,1.0,0.0,83700.66,0.0
48,15670066.0,Yudin,598.0,Germany,Female,39.0,2.0,97440.02,2.0,1.0,1.0,126471.13,0.0
49,15637366.0,Ts'ui,571.0,France,Male,37.0,6.0,0.0,1.0,0.0,0.0,85937.54,0.0
50,15704442.0,Lettiere,716.0,Spain,Female,37.0,2.0,85818.38,1.0,1.0,0.0,72462.25,0.0
51,15717245.0,Chukwufumnanya,699.0,France,Female,32.0,4.0,131354.25,1.0,0.0,0.0,175893.53,0.0
52,15646513.0,Chukwumaobim,696.0,France,Female,46.0,2.0,0.0,1.0,1.0,0.0,121555.51,1.0
53,15683980.0,Chibueze,767.0,Spain,Female,33.0,9.0,140956.99,1.0,1.0,0.0,135034.57,0.0
54,15750769.0,Chukwukadibia,669.0,France,Female,36.0,4.0,160838.13,1.0,1.0,1.0,180551.76,0.0
55,15724161.0,Calabrese,719.0,France,Male,39.0,9.0,0.0,2.0,1.0,0.0,1528.4,0.0
56,15583576.0,Chukwumaobim,812.0,France,Male,28.0,1.0,0.0,1.0,1.0,0.0,140780.8,0.0
57,15701392.0,Chibugo,537.0,Spain,Male,48.0,2.0,0.0,1.0,0.0,1.0,131281.28,1.0
58,15733387.0,Ts'ai,731.0,France,Female,38.0,1.0,108895.93,1.0,1.0,1.0,60728.89,0.0
59,15777076.0,Tsai,521.0,France,Male,47.0,7.0,0.0,2.0,1.0,0.0,88550.28,0.0
60,15669922.0,Yermakov,635.0,Spain,Male,29.0,2.0,0.0,2.0,1.0,1.0,170481.98,0.0
61,15761720.0,Lai,722.0,France,Male,29.0,1.0,0.0,2.0,1.0,0.0,80619.17,0.0
62,15772423.0,Shih,763.0,Spain,Female,38.0,8.0,123971.51,1.0,1.0,1.0,66463.62,1.0
63,15667085.0,Chidubem,707.0,France,Female,30.0,3.0,0.0,2.0,0.0,1.0,128528.83,0.0
64,15722583.0,Maclean,758.0,Spain,Male,39.0,0.0,0.0,2.0,1.0,1.0,163581.85,0.0
65,15778947.0,Onyemauchechukwu,571.0,Germany,Female,39.0,2.0,146622.35,1.0,1.0,1.0,131718.12,0.0
66,15743411.0,Chidimma,770.0,France,Female,54.0,1.0,0.0,1.0,1.0,1.0,89972.25,1.0
67,15583692.0,Nworie,656.0,Germany,Male,43.0,2.0,139859.54,2.0,0.0,1.0,176680.16,0.0
68,15771299.0,Martin,678.0,France,Male,33.0,8.0,89175.06,1.0,0.0,0.0,52449.71,0.0
69,15585100.0,Gorman,586.0,France,Male,38.0,7.0,98106.67,1.0,1.0,1.0,77500.81,0.0
70,15751392.0,Onwuamaeze,590.0,France,Male,33.0,3.0,127070.89,1.0,1.0,1.0,54495.82,0.0
71,15723320.0,Milano,710.0,Spain,Male,30.0,6.0,0.0,2.0,1.0,1.0,47848.56,0.0
72,15654574.0,Chukwumaobim,721.0,Spain,Male,43.0,5.0,0.0,2.0,1.0,0.0,140197.42,0.0
73,15583033.0,Li Fonti,733.0,France,Male,41.0,9.0,0.0,1.0,1.0,0.0,131660.31,1.0
74,15691823.0,Ch'ien,738.0,Germany,Male,39.0,6.0,116227.27,1.0,0.0,0.0,78854.57,0.0
75,15740180.0,Ch'iu,778.0,France,Female,42.0,4.0,0.0,2.0,1.0,0.0,65769.3,0.0
76,15613886.0,Nnamutaezinwa,564.0,France,Male,36.0,3.0,0.0,2.0,1.0,0.0,136905.29,0.0
77,15762799.0,Fanucci,545.0,France,Female,40.0,5.0,0.0,2.0,1.0,1.0,100556.98,0.0
78,15574072.0,Nwabugwu,739.0,France,Male,37.0,5.0,0.0,2.0,1.0,0.0,64833.33,0.0
79,15733797.0,Iweobiegbunam,623.0,Spain,Female,36.0,3.0,0.0,2.0,1.0,1.0,151316.37,0.0
80,15792679.0,Hsiung,556.0,France,Male,30.0,1.0,0.0,2.0,1.0,0.0,153566.97,0.0
